sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2024 Wolf Chart?,Official Tree?,Book?,notes
0389,389,M,b,2002,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0390,390,F,b,2003,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0391,391,F,g,2001,April,Druid Peak,106F,21M,"Lamar Valley, YNP",None,Geode Creek,N/A,2005,unknown,N/A,"Geode Creek Area, YNP",,,,Yes,Yes,
0392,392,M,g,2002,April,Geode Creek,106F,294M,"Geode Creek Area, Northern YNP",Geode Creek,-,N/A,2004,unknown,N/A,"Geode Creek Area, YNP",,,,Yes,Yes,
0393,393,M,g,2002?,?,?,?,?,Location Unknown,Chief Joseph,-,2004,N/A,March 16,Human,Unknown,,,,No,Yes,
0394,394,M,g,2002?,?,?,?,?,Location Unknown,Chief Joseph,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0395,395,F,g,2001,April,Yellowstone Delta,126F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0396,396,F,b,2001,April,Yellowstone Delta,126F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0397,397,F,b,2002,April,Yellowstone Delta,126F,?,Southeastern Yellowstone National Park,Yellowstone Delta,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0398,398,M,g,2002,April,Yellowstone Delta,126F,?,Southeastern Yellowstone National Park,Yellowstone Delta,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0399,399,F,b,2002,April,Yellowstone Delta,126F,?,Southeastern Yellowstone National Park,Yellowstone Delta,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0400,400,F,b,2002,April,Yellowstone Delta,126F,?,Southeastern Yellowstone National Park,Yellowstone Delta,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0401,401,F,b,2002?,?,?,?,?,Location Unknown,Greybull River,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0402,402,F,g,2002?,?,?,?,?,Location Unknown,Greybull River,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0403,403,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0404,404,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0405,405,M,b,2002?,?,?,?,?,Location Unknown,Washakie,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0406,406,M,b,2002?,?,?,?,?,Location Unknown,Washakie,-,N/A,2004,unknown,N/A, Unknown,,,,No,Yes,
0407,407,M,g,2002?,?,?,?,?,Location Unknown,Washakie,-,N/A,2004,unknown,N/A, Unknown,,,,No,Yes,
0408,408,M,b,2003,April,Bechler,Black and Silver Aplha Female,192M,"Bechler Area, Southwestern YNP",Bechler,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0409,409,F,b,2003,April,Bechler,Black and Silver Aplha Female,192M,"Bechler Area, Southwestern YNP",Bechler,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0410,410,F,g,2003,April,Bechler,Black and Silver Aplha Female,192M,"Bechler Area, Southwestern YNP",Bechler,-,N/A,2004,unknown,N/A, Unknown,,,,Yes,Yes,
0411,411,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0412,412,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0413,413,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0414,414,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0415,415,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0416,416,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0417,417,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0418,418,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0419,419,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0420,420,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0421,421,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0422,422,F?,b,2004,?,?,?,?,Location Unknown,?,-,2004,N/A,March 18,Unknown,Northern Range,,,,No,Yes,gender uncertain
0423,423,M,g,2001?,?,?,?,?,Location Unknown,Bear Creek,-,N/A,2004,unknown,N/A, Unknown,,,,No,Yes,
0424,424,M,?,2003?,?,?,42F,21M,Location Unknown,Sunlight Basin,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0425,425,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0426,426,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0427,427,F,b,2001,April,Druid Peak,42F(?),21M(?),"Lamar Valley, YNP",Specimen Ridge,-,N/A,2005,unknown,N/A,"Little America, YNP",U-Black,,,Yes,Yes,
0428,428,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0429,429,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0430,430,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0431,431,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0432,432,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0433,433,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0434,434,F,b,2002,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,2004,N/A,August 11,Vehicle, Unknown,,,,Yes,Yes,
0435,435,?,g,2004,April,Druid Peak,286F,21M,"Lamar Valley, YNP",Druid Peak,-,2004,N/A,July 23,Unknown,"Lamar Valley, YNP",,,,Yes,Yes,
0436,436,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0437,437,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0438,438,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0439,439,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0440,440,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0441,441,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0442,442,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0443,443,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0444,444,M,b,2003?,?,?,?,?,Location Unknown,Absaroka,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0445,445,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0446,446,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0447,447,F,g,2004,?,Phantom Lake (05),?,?,Location Unknown,Phantom Lake (05),-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0448,448,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0449,449,M,b,2000?,?,?,?,?,Location Unknown,Green River,-,N/A,2003,unknown,N/A, Unknown,,,,No,Yes,
0450,450,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0451,451,F,g,2004,April,Gibbon Meadows,537F,304M,"Gibbon Meadows, YNP",Gibbon Meadows,-,2004,N/A,September 24,Vehicle, Unknown,,,,Yes,Yes,
0452,452,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0453,453,?,g,2003?,?,?,?,?,Location Unknown,None,Slough Creek,2006,N/A,June 11,Legally Killed,Unknown,,,,No,Yes,
0454,454,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0455,455,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0456,456,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0457,457,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0458,458,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0459,459,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0460,460,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0461,461,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0462,462,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0463,463,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0464,464,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0465,465,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0466,466,?,g,2002?,?,?,?,?,Location Unknown,?,-,2004,N/A,December 12,Natural,Unknown,,,,No,Yes,
0467,467,M,g,2003,April,Nez Perce,48F,72M,"Firehole River Area, YNP",Nez Perce,-,2004,N/A,December 1,Unknown, Unknown,,,,Yes,Yes,
0468,468,M,g,2002,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Hellroaring,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0469,469,F,g,2003,April,Leopold,220F,?,"Blacktail Deer Plateau, YNP",Quadrant Mountain,-,2012,N/A,March 18,Wolf (Blacktail),"Quadrant Mountain Area, YNP",,,,Yes,Yes,
0470,470,F,b,2004,April,Leopold,209F,534M,"Blacktail Deer Plateau, YNP",None,Oxbow Creek,N/A,2010,December ,N/A, Unknown,,,,Yes,Yes,
0471,471,F,g,2003,April,Agate Creek,472F,113M,"Tower Junction Area, YNP",Agate Creek,Lava Creek,2012,N/A,April 10,Wolf (Mollie's), Unknown,,,,Yes,Yes,
0472,472,F,b,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Agate Creek,-,2010,N/A,December 1,Wolf (possibly Blacktail),"Lamar River & Slough Creek Confluence, Little America, YNP",,,,Yes,Yes,
0473,473,M,g,2004,April,Swan Lake,152F,205M,"Gardner's Hole/Swan Lake Flat Area, YNP",Swan Lake,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0474,474,M,b,2004,April,Biscuit Basin,340F,?,"Madison-Firehole Area, YNP",None,-,2006,N/A,December 3,Illegally Killed (possibly),"Tobacco Root, MT",,,,Yes,Yes,
0475,475,F,g,2004,April,Biscuit Basin,340F,?,"Madison-Firehole Area, YNP",Biscuit Basin,-,2005,N/A,January 31,Wolf, Unknown,,,,Yes,Yes,
0476,476,F,g,2003,April,Nez Perce,48F(?),72M(?),"Firehole River Area, YNP",Biscuit Basin,-,2005,N/A,May 5,Illegally Killed (possibly), Unknown,,,,Yes,Yes,
0477,477,M,b,2003,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0478,478,F,b,2003,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,2015,N/A,November ,Unknown,"Madison Valley Area, YNP",,,,Yes,Yes,
0479,479,M,g,2002,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0480,480,M,b,2003,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",None,Druid Peak,2010,N/A,March 1,Unknown,"Hellroaring Creek Drainage, YNP",,,,Yes,Yes,
0481,481,M,b,2004,April,Gibbon Meadows,537F,304M,"Gibbon Meadows, YNP",Gibbon Meadows,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0482,482,M,b,2000,April,?,?,?,Location Unknown,Gibbon Meadows,Cougar Creek,2010,N/A,February 27,Unknown, Unknown,,,,Yes,Yes,
0483,483,F,g,2002,April,Geode Creek,106F,294M,"Geode Creek Area, Northern YNP",None,-,2005,N/A,June 27,Natural (Elk?),"Geode Creek Area, Northern YNP",,,,Yes,Yes,
0484,484,M,g,2004,April,Nez Perce,48F,70M,"Firehole River Area, YNP",Nez Perce,-,2005,N/A,August 7,Unknown, Unknown,,,,Yes,Yes,
0485,485,F,g,2004,April,Nez Perce,48F,72M,"Firehole River Area, YNP",None,-,N/A,2008,unknown,N/A,West of YNP,,,,Yes,Yes,
0486,486,F,g,2004,April,Nez Perce,48F,72M,"Firehole River Area, YNP",Mollie's,-,N/A,2011,unknown,N/A,"Pelican Valley, YNP",,,,Yes,Yes,
0487,487,M,g,2002?,?,?,?,?,Location Unknown,None,Yellowstone Delta,2006,N/A,April 21,Unknown, Unknown,,,,Yes,Yes,
0488,488,M,g,2004,April,Geode Creek,106F,227M,"Geode Creek Area, Northern YNP",None,-,2005,N/A,August 8,Natural (Malnutrition),"Geode Creek Area, Northern YNP",,,,Yes,Yes,
0489,489,M,b,2004,April,Geode Creek,106F,227M,"Geode Creek Area, Northern YNP",Slough Creek,-,2006,N/A,April 4,Wolf (Unknown),"Slough Creek Area, YNP",,,,Yes,Yes,Unknown was the name given to a pack of wolves with unknown origins that attacked the Slough Creek pack in 2006
0490,490,M,b,2003?,?,Druid Peak or Mollie's,?,?,Location Unknown,Slough Creek,-,2006,N/A,December 29,Unknown (Possibly Unknown pack),"Northern Boundary of Slough Creek, YNP",,,,Yes,Yes,Unknown was the name given to a pack of wolves with unknown origins that attacked the Slough Creek pack in 2007
0491,491,M,g,2004,April,Slough Creek,Black Female SC,261M,"Slough Creek, YNP",None,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0492,492,F,g,2004,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0493,493,M,b,2004,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,2006,N/A,February 20,Unknown, Unknown,,,,Yes,Yes,
0494,494,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0495,495,M,b,2004,March,Mollie's,174F,193M,"Pelican Valley, YNP",Mollie's,-,2011,N/A,August 24,Natural (Bison),"Pelican Valley, YNP",,,,Yes,Yes,
0496,496,F,b,2004,April,Mollie's,174F,193M,"Pelican Valley, YNP",Mollie's,-,2005,N/A,June 4,Wolf (Hayden Valley), Unknown,,,,Yes,Yes,
0497,497,M,b,2004,April,Mollie's,174F,193M,"Pelican Valley, YNP",Mollie's,-,2007,N/A,May 6,Vehicle, Unknown,,,,Yes,Yes,
0498,498,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0499,499,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0500,500,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0501,501,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0502,502,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0503,503,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0504,504,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0505,505,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0506,506,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0507,507,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0508,508,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0509,509,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0510,510,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0511,511,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0512,512,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0513,513,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0514,514,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0515,515,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0516,516,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0517,517,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0518,518,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0519,519,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0520,520,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0521,521,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0522,522,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0523,523,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0524,524,F,g,2005,April,Agate Creek,472F,113M,"Antelope Creek, YNP",Agate Creek,-,2007,N/A,July 4,Wolf, Unknown,,,,Yes,Yes,
0525,525,F,b,2003,April,Agate Creek,472F,113M,"Tower Junction Area, YNP",Hoodoo Creek,-,N/A,2011,unknown,N/A, Unknown,,,,Yes,Yes,
0526,526,F,b,2004,April,Slough Creek,Black Female,261M,"Slough Creek Area, YNP",Slough Creek,-,2008,N/A,September 3,Wolf, Unknown,,,,Yes,Yes,
0527,527,F,b,2002,April,Druid Peak,42F,21M,"Lamar Valley, YNP",Cottonwood Creek,Slough Creek,2009,N/A,October 3,Legally Killed,North of YNP Boundary,,,,Yes,Yes,
0528,528,M,g,2003?,?,?,?,?,Location Unknown,Hellroaring,-,2006,N/A,February 11,Wolf (Agate Creek?), Unknown,,,,Yes,Yes,
0529,529,F,b,2004,April,Druid Peak,286F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0530,530,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0531,531,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0532,532,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0533,533,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0534,534,M,g,2000,April,Nez Perce,48F,72M,"Madison-Firehole Rivers Area, YNP",Leopold,-,2008,N/A,September 13,Wolf (Mount Everts),"Blacktail Deer Plateau, YNP",,,,Yes,Yes,
0535,535,M,b,2002,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0536,536,F,g,2003,April,Leopold,220F,534M,"Blacktail Deer Plateau, YNP",None,Oxbow Creek,2009,N/A,November 5,Natural (Malnutrition), Unknown,,,,Yes,Yes,
0537,537,F,g,2002,?,?,?,?,Location Unknown,Gibbon Meadows,-,N/A,2009,unknown,N/A, Unknown,,,,Yes,Yes,
0538,538,M,g,2004?,?,?,?,?,Location Unknown,Gibbon Meadows,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0539,539,F,g,2005,April,Gibbon Meadows,537F,257M,"Gibbon Meadows, YNP",Gibbon Meadows,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0540,540,F,g,2000,April,Nez Perce,48F,72M,"Madison-Firehole Area, YNP",Hayden Valley,-,2007,N/A,October 30,Wolf (Mollie's),"Hayden Valley Area, YNP",,,,Yes,Yes,
0541,541,M,g,2001,April,Swan Lake,152F,206M,"Swan Lake Flats, YNP",Hayden Valley,-,2007,N/A,October 27,Wolf (Mollie's),"Hayden Valley Area, YNP",,,,Yes,Yes,
0542,542,F,g,2003?,?,Yellowstone Delta,126F,?,Location Unknown,Yellowstone Delta,-,2006,N/A,April 9,Wolf (Mollie's), Unknown,,,,Yes,Yes,
0543,543,M,b,2005,April,Bechler,Black and Silver Aplha Female,192M,"Bechler Area, Southwestern YNP",Bechler,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0544,544,M,b,2005,April,Bechler,Black and Silver Aplha Female,192M,"Bechler Area, Southwestern YNP",Bechler,-,2008,N/A,January 2,Unknown, Unknown,,,,Yes,Yes,
0545,545,F,b,2005,April,Bechler,Black and Silver Aplha Female,192M,"Bechler Area, Southwestern YNP",Bechler,-,N/A,2013,unknown,N/A, Unknown,,,,Yes,Yes,
0546,546,M,g,2004,April,Cougar Creek,151F,257M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0547,547,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0548,548,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0549,549,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0550,550,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0551,551,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0552,552,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0553,553,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0554,554,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0555,555,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0556,556,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0557,557,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0558,558,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0559,559,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0560,560,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0561,561,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0562,562,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0563,563,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0564,564,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0565,565,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0566,566,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0567,567,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0568,568,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0569,569,F,g,2004,April,Druid Peak,286F,21M,"Lamar Valley, YNP",Druid Peak,-,2009,N/A,October 15,Wolf (Hoodoo Creek),"Upper Lamar River Area, YNP",,,,Yes,Yes,
0570,570,M,g,2006,April,Druid Peak,529F (569F?),480M (302M?),"Round Prairie Area, Northeast YNP",Druid Peak,-,N/A,2007,unknown,N/A, Unknown,,,,Yes,Yes,
0571,571,F,g,2006,April,Druid Peak,529F (569F?),480M (302M?),"Round Prairie Area, Northeast YNP",Druid Peak,-,N/A,2009,unknown,N/A, Unknown,,,,Yes,Yes,
0572,572,F,b,2004?,?,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2007,unknown,N/A, Unknown,,,,Yes,Yes,
0573,573,M,g,2006,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2007,unknown,N/A, Unknown,,,,Yes,Yes,
0574,574,F,b,2006,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2007,unknown,N/A, Unknown,,,,Yes,Yes,
0575,575,F,g,2004,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2010,unknown,N/A, Unknown,,,,Yes,Yes,
0576,576,F,g,2004?,?,Yellowstone Delta,126F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2007,unknown,N/A, Unknown,,,,Yes,Yes,
0577,577,M,g,2006,April,Gibbon Meadows,537F,258M,"Gibbon Meadows, YNP",Gibbon Meadows,-,N/A,2007,unknown,N/A, Unknown,,,,Yes,Yes,
0578,578,F,b,2006,April,Gibbon Meadows,537F,258M,"Gibbon Meadows, YNP",None,-,N/A,2011,unknown,N/A, Unknown,,,,Yes,Yes,
0579,579,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0580,580,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0581,581,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0582,582,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0583,583,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0584,584,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0585,585,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,N/A,N/A,N/A,
0586,586,M,g,2002,April,Mollie's,174F,193M,"Pelican Valley, YNP",Agate Creek,-,2011,N/A,October 25,Wolf (Mollie's), Unknown,,,,Yes,Yes,
0587,587,M,g,2002,April,Mollie's,174F,193M,"Pelican Valley, YNP",None,Canyon,N/A,2011,unknown,N/A,"Craig's Pass, YNP",,,,Yes,Yes,
0588,588,F,b,2006,April,Oxbow Creek,536F,470M,"Geode Creek Area, Northern YNP",Oxbow Creek,-,2008,N/A,December 5,Natural (Malnutrition), Unknown,,,,Yes,Yes,
0589,589,F,g,2006,April,Oxbow Creek,536F,470M,"Geode Creek Area, Northern YNP",Oxbow Creek,-,2008,N/A,September 19,Wolf (Agate Creek), Unknown,,,,Yes,Yes,
0590,590,M,b,2006,April,Agate Creek,472F,113M,"Antelope Creek Area, YNP",None,-,N/A,2008,unknown,N/A, Unknown,,,,Yes,Yes,
