sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2024 Wolf Chart?,Official Tree?,Book?,notes
0063,63,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,October 26,Legally Killed,West of YNP,,Sawtooth,,Yes,Yes,
0064,64,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,June 6,Legally Killed,"Big Timber, Montana",,Sawtooth,,Yes,Yes,
0065,65,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,N/A,1997,October ,N/A,Yellostone Possibly,,Sawtooth,,Yes,Yes,
0066,66,M,b,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,July 14,Vehicle,Central YNP,,Sawtooth,,Yes,Yes,
0067,67,F,b,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1998,N/A,August 22,Legally Killed,West of YNP,,Sawtooth,,Yes,Yes,
0068,68,F,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,September 9,Legally Killed,"Upper Green River, WY",,Sawtooth,,Yes,Yes,
0069,69,M,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,July 3,Legally Killed,"Near Leadore, ID",,Sawtooth,,Yes,Yes,
0070,70,M,g,1996,April,Sawtooth,?,?,"Augusta, Montana",Nez Perce,-,2005,N/A,June 21,Wolf (Mollie's),"West Central, YNP",,Sawtooth,,Yes,Yes,
0071,71,F,b,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,1997,N/A,May 19,Human (Coyote Trap),"South of Ruby Reservoir, MT",,Sawtooth,,Yes,Yes,
0072,72,M,g,1996,April,Sawtooth,?,?,"Augusta, Montana",None,-,N/A,2004,Unknown,N/A, Unknown,,Sawtooth,,Yes,Yes,
0073,73,M,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0074,74,F,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0075,75,?,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0076,76,?,?,1997,April 6-9,Rose Creek,19F,8M (21M?),"Eastern Little America, YNP",Rose Creek,-,1997,N/A,April ,Natural (Exposure),"Eastern Little America, YNP",,,,Yes,Yes,
0077,77,F,b,1997,April,Rose Creek,18F,8M,"Little America, YNP",Beartooth,-,N/A,2004,May ,N/A, Unknown,,,,Yes,Yes,
0078,78,F,b,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0079,79,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,,192,192,
0080,80,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,,193,193,
0081,81,F,b,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0082,82,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,,191,191,
0083,83,M,g,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,1998,N/A,May ,Natural (Elk), Unknown,,,,Yes,Yes,
0084,84,?,g,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0085,85,F,g,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,1998,N/A,March ,Wolf (Druid Peak),"Territorial Boundary Between Little America & Lamar Valley, YNP",,,,Yes,Yes,
0086,86,?,g,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
0087,87,?,g,1997,April,Rose Creek,9F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,June ,N/A, Unknown,,,,Yes,Yes,
