Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Coyote,general observation,game to be left as prey to coyotes,Unknown,1,,0,,0,1881,,,0,"Brockett, L.P.",lobr,1881,Unknown,continental,,journalist,Non to Official,M,west side of YNP,,Brockett,,,,1881,,0,1881,,0,0,Brockett 1882,1231,"Brockett, L.P.",1882,,,,,
Deer,general observation,full,More than 500,1,,0,,0,1872,summer,August,22,"Gray, T. B.",tbgr,1872,First Hand,resident,,scientist,Official,M,Gallatin Canyon,,TB Gray,,survey route through Gallatin Canyon,Gallatin Canyon,1872,,0,1872,,0,0,Gray 1872,2,"Gray, T.B.",1872,,,,,
Deer,general observation,,Unknown,1,,0,,0,1872,,,0,"Hendrie, Edward Beard",ebhe,1872,First Hand,regional,,unknown,Non to Official,M,Yellowstone Lake area,,Edward Hendrie,,,YNP area,1872,,0,1872,,0,0,Hendrie 1931,3,"Hendrie, Edward Beard",1931,,,,,
Deer,general observation,covered,More than 500,1,,0,,0,1873,winter,February,15,Unknown Observer 006,u006,1873,Unknown,,,unknown,,,Yellowstone region,,James McCartney,,,,1873,,0,1873,,0,0,Avant Courier 1873,3,,1873,,,,,
Deer,general observation,driven down by storms,Unknown,1,,0,,0,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,YNP,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,6,"Norris, Philetus W.",1881,,,,,
Deer,general observation,"numerous, driven from trail",More than 500,1,,0,,0,1875,summer,August,9,"Ludlow, Captain William E.",wilu,1875,First Hand,continental,,military personnel,Official,M,along Bridger Creek and land to west,,"Capt. Ludlow, GB Grinnell",22,information gathering,33 animals,1875,August,9,1875,September,3,0,Ludlow 1876,13,"Ludlow, Captain William E.",1876,,,,,
Deer,general observation,frequent hot springs to escape bugs,Unknown,1,,0,,0,1872,summer,August,8,"Blackmore, William",wibl,1872,First Hand,international,,hunter,Non to Official,M,West Thumb Geysers,,"Hayden, Savage, Holmes, Bennet, Bottler, Houston, Blackmore, Lowe, Peale, Platt, Brown, Davis, Mounts, Stover, Ticknor, Hamilton, Bingham, Sloane, Smith, Stoner, Gannett, Bean",34,Northern Division of Hayden Survey,Yellowstone NP,1872,July,5,1872,October,5,1,Blackmore 1872:7,16,"Blackmore, William",1872,,,,,
Deer,general observation,may kill an occasional,Unknown,1,,0,,0,1881,summer,August,0,"Francis, Jr, Francis",frfr,1881,First Hand,international,,journalist,Non to Official,M,YNP,,"Francis, B, Bud, Dick",4,writer,,1881,August,0,1881,August,0,0,Francis 1887,20,"Francis, Jr, Francis",1887,,,,,
Deer,general observation,checked wanton slaughter,Unknown,1,,0,,0,1879,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,YNP,,"Norris, Stephens",,superintendent,,1879,June,12,1879,,0,0,Norris 1880a,21,"Norris, Philetus W.",1880,,,,,
Deer,general observation,abundant,More than 500,1,,0,,0,1875,summer,July,28,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,Bottler's Ranch,,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,33,"Strong, General William Emerson",1968,,,,,
Deer,general observation,on highest mountain ranges,Unknown,1,,0,,0,1875,summer,July,30,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,reached camp,Tower Fall,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,46,"Strong, General William Emerson",1968,,,,,
Deer,general observation,home and grazing place,Unknown,1,,0,,0,1872,,,0,"Norton, Harry J.",hano,1872,First Hand,regional,,journalist,Non to Official,M,Madison River Valley west and northwest of the park,,"Harry Norton, James Mills, MH Raymond, PA Largey, Hillhouse Raymond, Frank Woodall, Theodore Fletcher",7,,"Madison River, Geyser Basins, Yellowstone Lake, Canyon, Tower, Mammoth Hot Springs",1872,,0,1872,,0,0,Norton 1873,56,"Norton, Harry",1873,,,,,
Deer,general observation,,Unknown,1,,0,,0,1873,,,0,"Stanley, Reverend E.J.",ejst,1873,First Hand,regional,Provided his own observations as well as reported comments of Native American,clergy,Non to Official,M,Tower Falls area,,Rev. Stanley,,,"approached YNP from north, MHS, Tower, Mt Washburn, Canyon, Mary Mtn, geyser basins, Lake, MHS",1873,,0,1873,,0,0,Stanley 1878,67,"Stanley, Reverend E.J.",1878,,,,,
