Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Elk,general observation,checked wanton slaughter,Unknown,1,,0,,0,1879,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,YNP,,"Norris, Stephens",,superintendent,,1879,June,12,1879,,0,0,Norris 1880a,21,"Norris, Philetus W.",1880,,,,,
Elk,general observation,very abundant,More than 500,1,,0,,0,1871,summer,,0,"Jackson, William Henry",whja,"1871, 1872, 1878",First Hand,continental,,artist,Official,M,Mirror Lake,,"Ferdinand Hayden, George Allen, Albert Peale, Bob Bushnel, Jose, Jim, Joe Clark, Carrington, Logan, Lt Doane, Geiselman, Goodfellow, Steve, Smith, W H Jackson, Duncan, Cam, Stevenson, H W Elliott, Robert Adams, Thomas Moran",20,scientific expedition,"plus packers, cooks and stock; Yellowstone River, Yellowstone Lake, Firehole River, around Lake, Pelican Creek, Mirror Plateau, Lamar",1871,July,11,1871,August,27,1,Jackson 1875,32,"Jackson, William Henry",1875,,,,,
Elk,general observation,abundant,More than 500,1,,0,,0,1875,summer,July,28,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,Bottler's Ranch,,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,33,"Strong, General William Emerson",1968,,,,,
Elk,general observation,,Unknown,1,,0,,0,1874,winter,,0,"Bean, John B.",jobe,"1870, 1872, 1873, 1874, 1875, 1876,  1877, 1879",First Hand,resident,,hunter,Non to Official,M,Yellowstone River,,John B. Bean,,hunting,,1874,,0,1875,,0,0,Bean 1910,37,"Bean, John B.",1910,,,,,
Elk,general observation,great number,More than 500,1,,0,,0,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,"inlets of Shoshone, Lewis, Heart Lakes, Snake River",,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,39,"Norris, Philetus W.",1881,,,,,
Elk,general observation,frequent all portions of park,Unknown,1,,0,,0,1880,,,0,"Norris, Philetus W.",phno,"1870, 1875, 1877, 1878, 1879, 1880, 1881",First Hand,continental/resident,,civilian official,Official,M,YNP,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Norris 1881a,39,"Norris, Philetus W.",1881,,,,,
Elk,general observation,on highest mountain ranges,Unknown,1,,0,,0,1875,summer,July,30,"Strong, General William Emerson",west,1875,First Hand,continental,,military personnel,Official,M,reached camp,Tower Fall,"Gen WE Stong, Sec of War W Belknap, Gen R Marcy, Gen N Sweitzer, Gen J Forsyth, Col G Gillespie, Lt G Doane, R Whitefoot",35,,military dignitaries,1875,July,26,1875,August,13,0,Strong 1968,46,"Strong, General William Emerson",1968,,,,,
Elk,general observation,protect,Unknown,1,,0,,0,1880,,,0,"Yount, Harry",hayo,"1880, 1881",First Hand,resident,,civilian official,Official,M,terrace commanding view of both East Fork & Soda Butte Valleys,,"Norris, Yount",,superintendent,,1880,June,0,1880,November,0,0,Yount 1881,50,"Yount, Harry",1881,,,,,
Elk,general observation,home and grazing place,Unknown,1,,0,,0,1872,,,0,"Norton, Harry J.",hano,1872,First Hand,regional,,journalist,Non to Official,M,Madison River Valley west and northwest of the park,,"Harry Norton, James Mills, MH Raymond, PA Largey, Hillhouse Raymond, Frank Woodall, Theodore Fletcher",7,,"Madison River, Geyser Basins, Yellowstone Lake, Canyon, Tower, Mammoth Hot Springs",1872,,0,1872,,0,0,Norton 1873,56,"Norton, Harry",1873,,,,,
Elk,general observation,slaughtered by thousands each year,More than 500,1,,0,,0,1875,summer,,0,"Grinnell, George Bird",gbgr,"1875, 1877, 1879",First Hand,continental,,scientist,Official,M,portions of Montana and Wyoming though which we passed,,"Capt. Ludlow, GB Grinnell",22,information gathering,33 animals,1875,August,9,1875,September,3,0,Grinnell 1876,66,"Grinnell, George Bird",1876,,,,,
